排名,标题,作者,点赞数,收藏数,评论数,分享数,标签,链接
1,AI做视频怎么找工具？#AI #AI工具 #干货 #打工人,达叔叨AI,10万+,10万+,1103,3.9万,,https://www.xiaohongshu.com/explore/697b30670000000022031a98?xsec_token=ABF91YCjK6a9GEeBJQ58F78U6bSOdk4cacr7kbCCsvSNs=&xsec_source=pc_search
2,用AI做跨境真的成了！原生感视频工具合集🛠️,OsBois骨木社,10万+,10万+,5096,4.8万,"ai视频工具,跨境电商,ai做短视频,用AI做跨境,ai工具,AI工具集",https://www.xiaohongshu.com/explore/68ff75f2000000000700c924?xsec_token=ABkaNOmMcmzQJ4q8oZkIGlL9CNlwlHlbiRwedCoMT3-lA=&xsec_source=pc_search
3,如何用AI做广告？看这个你就懂了,陈生2.0,10万+,8.3万,372,9887,"tapnow,陈生AIGC,TVC,人工智能,AI视频,创意广告",https://www.xiaohongshu.com/explore/690c78de0000000004021c16?xsec_token=ABQH63ErUmexQh_CoIYLyFKiKPPc1N0L9lqizseuBVi3w=&xsec_source=pc_search
4,2026靠这10个AI技能，拉开差距,Super Winnie,5.6万,8.9万,285,8232,"AI教程,大模型,AI工作,2026AI,科技,AI工具",https://www.xiaohongshu.com/explore/6969e058000000002202cd68?xsec_token=ABVAGF9CkjZFH4Ry50HODp6n_fRKf-eLz2m7nFyyCZ1yI=&xsec_source=pc_search
5,教练最讨厌你用AI健身,秦阳Finn,3.9万,1.3万,475,2455,"见人不如健身,健身干货,健身教学,健身入坑指南,健身教练,私教,健身计划,阿里千问,千问我不允许有人忤逆你,上百款ai不如一个千问",https://www.xiaohongshu.com/explore/6919e6200000000007020e1a?xsec_token=ABeVkagi7ogGg3AWR2SvFlYjlK-uPPBItDMvWu3DH3Cfc=&xsec_source=pc_search
6,AI好松弛,小十七西亚,3.7万,3720,799,333,"萱堡摇,REDLOOK",https://www.xiaohongshu.com/explore/69356390000000001e025563?xsec_token=AB5sddWf4WIizxEo-8iyjJ9KVXnnbsrDm567FKPg3m_eo=&xsec_source=pc_search
7,三步学会产品爆炸AI动画，建议收藏~,小林Kara,2.9万,3万,141,2716,"ai,产品动画,AI视频,aigc,ai教程",https://www.xiaohongshu.com/explore/68e4fd7c0000000007021026?xsec_token=ABkALEFct0yISF2WnkTxxtz8QFMypGTLRLKxWxVFdL_AM=&xsec_source=pc_search
8,一个视频搞懂OpenClaw！,林亦LYi,2.8万,1.9万,729,2万,"openclaw,智能体,AI,人工智能,龙虾机器人,Claudecode",https://www.xiaohongshu.com/explore/69a2e421000000001d011200?xsec_token=AB_Hz-s_plyzxsDXAJl_iI1sQ_nAeosnxA1UxVAr-cAzE=&xsec_source=pc_search
9,文科生居然用AI做了自己的app！天啊！,阿甜（AI狂热版）,2.7万,5.1万,337,4405,"创业,ai,小红书科技AMA,vibecoding大赏,宝藏APP,inZOI,AI工具,人工智能",https://www.xiaohongshu.com/explore/6985a2c1000000000a031060?xsec_token=ABMHcTgzRU-TcGoxD6JsPr28LAi6JP2xLPMkmU0OhoEQs=&xsec_source=pc_search
10,记住这三个AI，一个人就能开公司。#AI神器[话题]##AIGC[话题]##AI视频[话题]##AI工具[话题]##数字人[话题]#,AI小Duo说,2.6万,4.5万,454,7772,"AI神器,AIGC,AI视频,AI工具,数字人",https://www.xiaohongshu.com/explore/67dbe974000000001b03a2c2?xsec_token=ABdCbVmn0gzUgbrPXErN2xuwihQcbByqrgXRHk1x_jZbs=&xsec_source=pc_search
11,学AI别花冤枉钱❗️油管必看的8位AI大神,AI教练振轩,2.6万,5.6万,184,4375,"AI,大模型,人工智能,信息差,小红书科技AMA,学习方法,生产力工具,吴恩达,OpenAI,免费资源",https://www.xiaohongshu.com/explore/698ac92a000000000a02907a?xsec_token=ABPBymeao34gP5_EE-_p8Jpne4eb9gqUf0dCT95vaYoqA=&xsec_source=pc_search
12,半天完成价值10W的TVC,AI摄影师幻,2.5万,1.7万,91,1696,"ai视频,tapnow,ai宣传片,tapnow教程",https://www.xiaohongshu.com/explore/695a6a9f000000001e011df1?xsec_token=ABQ8Y-PstVj1ju7srz3QB2hqTjyGkby3ZFnNzt0bvLlA0=&xsec_source=pc_search
13,AI打戏天花板！Tapnow精品AI漫剧教程👑,硅基也木水,2.5万,2万,257,2370,"AIChannel,AIGC,AI,AI短剧,AI漫剧,AI工具,tapnow,TapTV,科技,人工智能",https://www.xiaohongshu.com/explore/6954e929000000001e02b89e?xsec_token=ABD8RYQsBXHg6SYJ6ThSjEPnrJnGF28sH7d3Uv3yEZ4KY=&xsec_source=pc_search
14,2025vs2026｜10类AI工具大推荐！20秒看懂！,卡尔的AI沃茨,2.4万,4万,140,2571,"宝藏APP,AI新手村,AI工具,网站推荐,免费学习资源网站,自媒体工具,创作者必备,办公软件,效率神器,留学必备app",https://www.xiaohongshu.com/explore/69a95d80000000001d0266c2?xsec_token=ABjPF3wKAkoGiZBZHrIA0Q_ZBkU2klNmFpMwqzyiEZHpQ=&xsec_source=pc_search
15,绝了❗️AI生图+plog真的赢麻了（附生图指令,微辣学姐,2.2万,2.2万,682,5319,"plog新人博主,做图神器,自媒体干货分享,修图技巧,自媒体工具,AI生成,AI做图,p图教程",https://www.xiaohongshu.com/explore/6877189b00000000130126d9?xsec_token=ABYWT7WAuuXLXHPQeyO_bOzujJ5c90QuxbEzzEXzSe3Eo=&xsec_source=pc_search
16,凌晨3点被AI叫醒，竟是OpenClaw在催我干活？,阿畅聊AI,2.2万,1.5万,977,1.8万,"OpenClaw,Clawdbot,Moltbot,Moltbook,人工智能",https://www.xiaohongshu.com/explore/6989ab69000000002801f94b?xsec_token=ABXmdgcvzVEKw48JRWZTL6nPrTbWVGMmNCgSm9Nkjb6hI=&xsec_source=pc_search
