排名,微博ID,发布时间,作者,内容摘要,点赞数,评论数,转发数,热度分,链接
1,5275734413411771,2026-03-12 19:56:05+08:00,阑夕,AI的错误用法： 阑夕的微博视频 ,1636,176,490,3458,https://m.weibo.cn/detail/5275734413411771
2,5276091641237856,2026-03-13 19:35:35+08:00,阑夕,看到这个龙虾代替人类的直播挑战，挑战成功与否不重要，这场直播真正的价值在于这是一个AI时代下的「社会实验」，而实验的价值...,361,15,303,1300,https://m.weibo.cn/detail/5276091641237856
3,5275649214251506,2026-03-12 14:17:31+08:00,洪榕,AI三大C端应用：AI智能体、人形机器人、自动驾驶。 ,706,45,113,1135,https://m.weibo.cn/detail/5275649214251506
4,5275569860116511,2026-03-12 09:02:12+08:00,水木丁,说AI不会造成失业潮，只会造就新工作岗位的。这种思想太落后了。好多人看似前卫，实际上是在拿几百年前工业革命的经验来理解现...,684,36,60,936,https://m.weibo.cn/detail/5275569860116511
5,5275892381385242,2026-03-13 06:23:48+08:00,爱可可-爱生活,【前Manus后端负责人：我干了两年AI Agent，最后把Function Calling全扔了】快速导读：前Meta...,131,20,146,609,https://m.weibo.cn/detail/5275892381385242
6,5275946057465950,2026-03-13 09:57:04+08:00,万万正能量,现在AI越来越火，推荐必学的10个AI工具：1、第一个，豆包，查资料、写文章、聊天、娱乐等功能特别多。2、第二个，Dee...,163,5,142,599,https://m.weibo.cn/detail/5275946057465950
7,5275799991094637,2026-03-13 00:16:40+08:00,谈美功课小号,其实我觉得AI最适合的工作：写汇报、写PPT、写周报、做统计图表以及自动生成总结，可以代替50%以上的办公室工作。若是国...,472,14,7,521,https://m.weibo.cn/detail/5275799991094637
8,5276031323997960,2026-03-13 15:35:54+08:00,a无小邪,#不想看AI演戏#不是不看AI演戏，是怕被AI取代演员的岗位吧！有些真人演的不好还烂，还真不如去看AI演戏 a无小邪的微...,314,70,10,484,https://m.weibo.cn/detail/5276031323997960
9,5276023260447491,2026-03-13 15:03:52+08:00,秦祎墨,影视行业过于稀巴烂的，给了ai领域非常简单能超越的既视感。先不说人权问题能否得到保证，肖像权滥用这件事不是【授权】两个字...,314,21,34,458,https://m.weibo.cn/detail/5276023260447491
10,5276096184452001,2026-03-13 19:53:38+08:00,那就陪我吹晚风吧,这段时间，很多粉丝都因为一件事感到愤怒又无助：大量账号正在盗用史泽鲲的声音做AI合成，甚至有的已经用来盈利。他们把他用心...,117,51,32,315,https://m.weibo.cn/detail/5276096184452001
