序号,微博ID,发布时间,内容,点赞数,评论数,转发数,IP属地,链接
1,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
2,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
3,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
4,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
5,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
6,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
7,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
8,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
9,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
10,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
11,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
12,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
13,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
14,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
15,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
16,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
17,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
18,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
19,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
20,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
21,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
22,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
23,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
24,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
25,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
26,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
27,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
28,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
29,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
30,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
31,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
32,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
33,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
34,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
35,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
36,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
37,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
38,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
39,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
40,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
41,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
42,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
43,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
44,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
45,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
46,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
47,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
48,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
49,5254730890875556,2026-01-13 20:55:35+08:00,健身打卡，力训1h，主要练腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5254730890875556
50,5253996631824037,2026-01-11 20:17:54+08:00,健身打卡，今日力训60min，主要练胸，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5253996631824037
51,5272859670743996,2026-03-04 21:32:53+08:00,健身打卡，30min练背，1h椭圆机有氧。健身补卡：上周力训90min，爬坡30min+1节网球课。 ,0,1,0,上海,https://m.weibo.cn/detail/5272859670743996
52,5270292341457010,2026-02-25 19:31:13+08:00,健身打卡，力量训练60分钟：全身热身循环。 ,0,1,0,上海,https://m.weibo.cn/detail/5270292341457010
53,5265234073747659,2026-02-11 20:31:28+08:00,健身打卡，力训90min，练胸+腿。 ,0,1,0,上海,https://m.weibo.cn/detail/5265234073747659
54,5262701695860986,2026-02-04 20:48:42+08:00,健身打卡，力训一小时，主要练背。健身补卡，昨天练胸一小时。 ,0,1,0,上海,https://m.weibo.cn/detail/5262701695860986
55,5260165331821982,2026-01-28 20:50:07+08:00,健身打卡，练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5260165331821982
56,5258690712046057,2026-01-24 19:10:30+08:00,健身打卡，力训练胸1h，跑步机爬坡30min。 ,0,1,0,上海,https://m.weibo.cn/detail/5258690712046057
57,5257263512032375,2026-01-20 20:39:19+08:00,健身打卡，今日力训练背1h。 ,0,1,0,上海,https://m.weibo.cn/detail/5257263512032375
58,5255089939286999,2026-01-14 20:42:19+08:00,健身打卡，力训练背1h。 ,0,3,0,上海,https://m.weibo.cn/detail/5255089939286999
